No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
57, 0.18 ,M,Nkunku,CHE, 6.2 , 38.00 , 0.063 , 2.40 ,98%, 2.35 , 2.53 , 2.62 , 1.85 , 2.48 , 2.19 , 1.92 , 2.74 
58, 0.15 ,M,Sancho,CHE, 6.3 , 35.31 , 0.055 , 1.54 ,98%, 2.70 , 2.33 , 1.69 , 1.19 , 1.60 , 1.41 , 1.24 , 1.77 
59, 0.45 ,M,Palmer,CHE, 10.6 , 83.60 , 0.073 , 6.14 ,98%, 6.03 , 6.48 , 6.72 , 4.74 , 6.37 , 5.62 , 4.93 , 7.03 
60, 0.35 ,M,Fernández,CHE, 5.0 , 85.10 , 0.037 , 3.14 ,98%, 3.08 , 3.31 , 3.44 , 2.42 , 3.25 , 2.87 , 2.52 , 3.59 
61, 0.10 ,M,Mudryk,CHE, 6.4 , 19.00 , 0.053 , 1.01 ,98%, 0.99 , 1.06 , 1.10 , 0.78 , 1.04 , 0.92 , 0.81 , 1.15 
62, 0.20 ,M,Madueke,CHE, 6.6 , 41.26 , 0.064 , 2.44 ,98%, 3.08 , 2.84 , 2.67 , 1.88 , 2.53 , 2.23 , 1.96 , 2.79 
63, 0.20 ,M,Moises Caicedo,CHE, 4.9 , 79.70 , 0.028 , 2.22 ,98%, 2.17 , 2.34 , 2.43 , 1.71 , 2.30 , 2.03 , 1.78 , 2.53 
64, 0.13 ,M,Lavia,CHE, 4.5 , 25.85 , 0.029 , 0.85 ,98%, 0.43 , 0.89 , 0.93 , 0.65 , 0.88 , 0.78 , 0.68 , 0.97 
65, 0.09 ,M,Dewsbury-Hall,CHE, 5.8 , 13.00 , 0.046 , 0.59 ,98%, 0.58 , 0.62 , 0.65 , 0.46 , 0.61 , 0.54 , 0.48 , 0.68 
66, 0.12 ,M,Matheus França,CPL, 4.4 , 11.20 , 0.046 , 0.60 ,97%, 0.24 , 0.57 , 0.53 , 0.58 , 0.62 , 0.60 , 0.66 , 0.56 
67, 0.17 ,M,Kamada,CPL, 5.3 , 53.75 , 0.039 , 2.16 ,97%, 1.84 , 2.02 , 1.90 , 2.07 , 2.22 , 2.14 , 2.34 , 2.01 
68, 0.10 ,M,Schlupp,CPL, 4.9 , 11.00 , 0.037 , 0.40 ,97%, 0.42 , 0.38 , 0.35 , 0.39 , 0.42 , 0.40 , 0.44 , 0.38 
69, 0.16 ,M,Lerma,CPL, 4.9 , 56.00 , 0.028 , 1.59 ,97%, 1.65 , 1.49 , 1.40 , 1.53 , 1.64 , 1.58 , 1.73 , 1.48 
70, 0.48 ,M,Eze,CPL, 6.9 , 81.50 , 0.057 , 4.69 ,97%, 4.86 , 4.39 , 4.12 , 4.49 , 4.83 , 4.63 , 5.09 , 4.35 
71, 0.27 ,M,Wharton,CPL, 4.9 , 84.00 , 0.032 , 2.73 ,97%, 2.83 , 2.56 , 2.40 , 2.61 , 2.81 , 2.70 , 2.96 , 2.53 
72, (1.00),M,0,CPL, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
73, 0.12 ,M,Hughes,CPL, 4.9 , 35.00 , 0.026 , 0.91 ,97%, 0.94 , 0.85 , 0.80 , 0.87 , 0.93 , 0.90 , 0.98 , 0.84 
74, 0.15 ,M,Ismaila Sarr,CPL, 5.9 , 45.00 , 0.045 , 2.04 ,97%, 2.12 , 1.92 , 1.80 , 1.96 , 2.11 , 2.02 , 2.22 , 1.90 
75, 0.35 ,M,Harrison (Jack),EVE, 5.4 , 71.00 , 0.041 , 2.92 ,111%, 3.34 , 3.13 , 3.03 , 3.35 , 3.17 , 3.28 , 2.87 , 3.16 
76, 0.24 ,M,Garner,EVE, 5.0 , 73.20 , 0.032 , 2.39 ,111%, 2.44 , 2.56 , 2.47 , 2.74 , 2.59 , 2.68 , 2.34 , 2.58 
77, 0.13 ,M,Mangala,EVE, 5.0 , 40.00 , 0.025 , 1.01 ,111%, 1.16 , 1.08 , 1.05 , 1.16 , 1.10 , 1.14 , 0.99 , 1.10 
78, 0.20 ,M,Gueye,EVE, 4.9 , 73.00 , 0.028 , 2.04 ,111%, 2.34 , 2.19 , 2.12 , 2.34 , 2.22 , 2.29 , 2.01 , 2.21 
79, 0.51 ,M,McNeil,EVE, 5.4 , 83.00 , 0.045 , 3.69 ,111%, 4.23 , 3.96 , 3.83 , 4.24 , 4.01 , 4.15 , 3.62 , 4.00 
80, 0.18 ,M,Doucouré,EVE, 5.3 , 45.27 , 0.042 , 2.20 ,111%, 1.43 , 1.78 , 2.29 , 2.53 , 2.39 , 2.47 , 2.16 , 2.39 
81, 0.13 ,M,Iroegbunam,EVE, 4.5 , 33.38 , 0.023 , 0.68 ,111%, 1.17 , 0.73 , 0.71 , 0.78 , 0.74 , 0.77 , 0.67 , 0.74 
82, (1.00),M,0,FUL, 100.0 , -   , -   , -   ,95%, -   , -   , -   , -   , -   , -   , -   , -   
83, 0.33 ,M,Iwobi,FUL, 5.5 , 78.00 , 0.042 , 3.28 ,95%, 3.40 , 3.14 , 2.26 , 3.49 , 3.07 , 3.55 , 3.06 , 3.69 
84, 0.34 ,M,Pereira,FUL, 5.4 , 70.29 , 0.047 , 3.23 ,95%, 3.52 , 3.10 , 2.24 , 3.45 , 3.03 , 3.50 , 3.02 , 3.64 
85, 0.12 ,M,Cairney,FUL, 4.9 , 20.00 , 0.038 , 0.76 ,95%, 0.79 , 0.73 , 0.53 , 0.81 , 0.71 , 0.82 , 0.71 , 0.86 
86, 0.12 ,M,Wilson (Harry),FUL, 5.4 , 23.00 , 0.044 , 1.02 ,95%, 1.06 , 0.98 , 0.71 , 1.09 , 0.96 , 1.11 , 0.95 , 1.15 
87, 0.15 ,M,Lukic,FUL, 5.0 , 53.00 , 0.028 , 1.51 ,95%, 1.56 , 1.44 , 1.04 , 1.61 , 1.41 , 1.63 , 1.41 , 1.70 
88, 0.11 ,M,Reed,FUL, 4.9 , 19.00 , 0.030 , 0.57 ,95%, 0.59 , 0.55 , 0.39 , 0.61 , 0.53 , 0.62 , 0.53 , 0.64 
89, 0.41 ,M,Smith-Rowe,FUL, 5.6 , 70.00 , 0.053 , 3.74 ,95%, 3.88 , 3.58 , 2.59 , 3.99 , 3.51 , 4.05 , 3.49 , 4.22 
90, 0.44 ,M,Traoré (Adama),FUL, 5.0 , 71.00 , 0.052 , 3.69 ,95%, 3.82 , 3.53 , 2.55 , 3.93 , 3.45 , 3.99 , 3.44 , 4.15 
91, 0.15 ,M,Berge,FUL, 5.0 , 52.00 , 0.031 , 1.60 ,95%, 1.66 , 1.53 , 1.11 , 1.71 , 1.50 , 1.73 , 1.49 , 1.80 
92, (1.00),M,0,FUL, 100.0 , -   , -   , -   ,95%, -   , -   , -   , -   , -   , -   , -   , -   
93, 0.13 ,M,Ogbene,IPS, 5.0 , 37.00 , 0.025 , 0.92 ,107%, 1.04 , 0.98 , 0.91 , 0.99 , 0.87 , 1.20 , 0.84 , 0.96 
94, 0.14 ,M,Chaplin,IPS, 5.3 , 28.00 , 0.047 , 1.31 ,107%, 1.47 , 1.39 , 1.28 , 1.40 , 1.24 , 1.70 , 1.19 , 1.36 
95, 0.14 ,M,Broadhead,IPS, 4.9 , 19.66 , 0.049 , 2.30 ,107%, -   , 0.26 , 0.72 , 1.57 , 1.85 , 2.98 , 2.09 , 2.38 
96, 0.33 ,M,Hutchinson,IPS, 5.4 , 76.50 , 0.038 , 2.91 ,107%, 3.27 , 3.10 , 2.86 , 3.13 , 2.75 , 3.77 , 2.64 , 3.02 
